name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,category,instructions,name_in_persian,instructions_in_persian
Barbell Shrug,pull,beginner,isolation,barbell,traps,,strength,"Stand up straight with your feet at shoulder width as you hold a barbell with both hands in front of you using a pronated grip (palms facing the thighs). Tip: Your hands should be a little wider than shoulder width apart. You can use wrist wraps for this exercise for a better grip. This will be your starting position., Raise your shoulders up as far as you can go as you breathe out and hold the contraction for a second. Tip: Refrain from trying to lift the barbell by using your biceps., Slowly return to the starting position as you breathe in., Repeat for the recommended amount of repetitions.",شراگ با هالتر,"صاف بایستید و پاهایتان را به اندازه عرض شانه‌هایتان باز کنید و یک هالتر را با هر دو دست در جلوی خود و با استفاده از گرفتن به صورت چرخشی (کف دست‌ها رو به ران‌ها) نگه دارید. نکته: دست‌هایتان باید کمی بیشتر از عرض شانه‌ها باز باشند. برای گرفتن بهتر می‌توانید از مچ‌بند برای این تمرین استفاده کنید. این حالت شروع شما خواهد بود. در حالی که نفس می‌کشید، شانه‌هایتان را تا جایی که می‌توانید بالا بیاورید و انقباض را برای یک ثانیه نگه دارید. نکته: از تلاش برای بلند کردن هالتر با استفاده از عضلات دوسر خودداری کنید. در حالی که نفس می‌کشید، به آرامی به حالت شروع برگردید. این حرکت را به تعداد توصیه شده تکرار کنید."
Barbell Shrug Behind The Back,pull,beginner,isolation,barbell,traps,"forearms, middle back",strength,"Stand up straight with your feet at shoulder width as you hold a barbell with both hands behind your back using a pronated grip (palms facing back). Tip: Your hands should be a little wider than shoulder width apart. You can use wrist wraps for this exercise for better grip. This will be your starting position., Raise your shoulders up as far as you can go as you breathe out and hold the contraction for a second. Tip: Refrain from trying to lift the barbell by using your biceps. The arms should remain stretched out at all times., Slowly return to the starting position as you breathe in., Repeat for the recommended amount of repetitions.",شراگ هالتر از پشت,"صاف بایستید و پاهایتان را به اندازه عرض شانه‌هایتان باز کنید و یک هالتر را با هر دو دست پشت کمرتان و با استفاده از گرفتن به صورت چرخشی (کف دست‌ها رو به عقب) نگه دارید. نکته: دست‌هایتان باید کمی بیشتر از عرض شانه‌ها باز باشند. برای گرفتن بهتر می‌توانید از مچ‌بند برای این تمرین استفاده کنید. این حالت شروع شما خواهد بود. در حالی که نفس می‌کشید، شانه‌هایتان را تا جایی که می‌توانید بالا بیاورید و انقباض را برای یک ثانیه نگه دارید. نکته: از تلاش برای بلند کردن هالتر با استفاده از عضلات دوسر خودداری کنید. بازوها باید همیشه کشیده باقی بمانند. در حالی که نفس می‌کشید، به آرامی به حالت شروع برگردید. این حرکت را به تعداد توصیه شده تکرار کنید."
Barbell Side Bend,pull,beginner,isolation,barbell,abdominals,lower back,strength,"Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be shoulder width apart. This will be your starting position., While keeping your back straight and your head up, bend only at the waist to the right as far as possible. Breathe in as you bend to the side. Then hold for a second and come back up to the starting position as you exhale. Tip: Keep the rest of the body stationary., Now repeat the movement but bending to the left instead. Hold for a second and come back to the starting position., Repeat for the recommended amount of repetitions.",خم شدن به پهلو با هالتر,"در حالی که هالتری را پشت شانه‌هایتان (کمی پایین‌تر از گردن) نگه داشته‌اید، صاف بایستید. پاهایتان باید به اندازه عرض شانه باز باشند. این حالت شروع شما خواهد بود. در حالی که کمرتان را صاف و سرتان را بالا نگه داشته‌اید، تا حد امکان فقط از کمر به سمت راست خم شوید. هنگام خم شدن به پهلو نفس بکشید. سپس یک ثانیه نگه دارید و هنگام بازدم به حالت شروع برگردید. نکته: بقیه بدن را ثابت نگه دارید. حالا حرکت را تکرار کنید اما به جای آن به سمت چپ خم شوید. یک ثانیه نگه دارید و به حالت شروع برگردید. این حرکت را به تعداد توصیه شده تکرار کنید."
Barbell Side Split Squat,push,beginner,compound,barbell,quadriceps,"calves, hamstrings, lower back",strength,"Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be placed wide apart with the foot of the lead leg angled out to the side. This will be your starting position., Lower your body towards the side of your angled foot by bending the knee and hip of your lead leg and while keeping the opposite leg only slightly bent. Breathe in as you lower your body., Return to the starting position by extending the hip and knee of the lead leg. Breathe out as you perform this movement., After performing the recommended amount of reps, repeat the movement with the opposite leg.",اسکات از پهلو با هالتر,"در حالی که هالتری را در پشت شانه‌هایتان (کمی پایین‌تر از گردن) نگه داشته‌اید، صاف بایستید. پاهایتان باید کاملاً از هم باز باشند و پای پای جلو به سمت بیرون زاویه داشته باشد. این حالت شروع شما خواهد بود. با خم کردن زانو و لگن پای جلو و در حالی که پای مخالف را کمی خم نگه داشته‌اید، بدن خود را به سمت پای زاویه‌دار خود پایین بیاورید. هنگام پایین آوردن بدن، نفس بکشید. با کشش لگن و زانوی پای جلو به حالت شروع برگردید. هنگام انجام این حرکت، نفس خود را بیرون دهید. پس از انجام تعداد تکرار توصیه شده، حرکت را با پای مخالف تکرار کنید."
Barbell Squat,push,beginner,compound,barbell,quadriceps,"calves, glutes, hamstrings, lower back",strength,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack to just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it., Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso., Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances discussed in the foot stances section)., Begin to slowly lower the bar by bending the knees and hips as you maintain a straight posture with the head up. Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees. Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly., Begin to raise the bar as you exhale by pushing the floor with the heel of your foot as you straighten the legs again and go back to the starting position., Repeat for the recommended amount of repetitions.",اسکات با هالتر,"این تمرین برای ایمنی بهتر است داخل یک پایه اسکات انجام شود. برای شروع، ابتدا میله را روی پایه درست زیر سطح شانه قرار دهید. پس از انتخاب ارتفاع صحیح و بارگذاری میله، زیر میله قرار بگیرید و پشت شانه‌های خود (کمی زیر گردن) را روی آن قرار دهید. با استفاده از هر دو دست در دو طرف، میله را بگیرید و ابتدا با فشار دادن پاها و همزمان صاف کردن بالاتنه، آن را از روی پایه بلند کنید. از پایه فاصله بگیرید و پاهای خود را با استفاده از حالت ایستاده متوسط به عرض شانه و با انگشتان پا کمی رو به بیرون قرار دهید. سر خود را همیشه بالا نگه دارید و همچنین کمر خود را صاف نگه دارید. این حالت شروع شما خواهد بود. (توجه: برای اهداف این بحث، ما از حالت ایستاده متوسط که در بالا توضیح داده شد استفاده خواهیم کرد که هدف آن توسعه کلی است. با این حال، می‌توانید هر یک از سه حالت مورد بحث در بخش حالت‌های پا را انتخاب کنید). با خم کردن زانوها و باسن، در حالی که حالت صافی را با سر بالا حفظ می‌کنید، به آرامی میله را پایین بیاورید. تا زمانی که زاویه بین پای بالایی و ساق پا کمی کمتر از ۹۰ درجه شود، به پایین رفتن ادامه دهید. هنگام انجام این بخش از حرکت، نفس عمیق بکشید. نکته: اگر تمرین را به درستی انجام داده باشید، جلوی زانوها باید با انگشتان پا که عمود بر جلوی بدن هستند، یک خط فرضی مستقیم تشکیل دهند. اگر زانوهای شما از آن خط فرضی عبور کنند (اگر از انگشتان پا عبور کنند)، فشار بیش از حدی به زانو وارد می‌کنید و تمرین به اشتباه انجام شده است. هنگام بازدم، با فشار دادن زمین با پاشنه پا، شروع به بالا بردن میله کنید و پاها را دوباره صاف کنید و به حالت شروع برگردید. این حرکت را به تعداد توصیه شده تکرار کنید."
Barbell Squat To A Bench,push,expert,compound,barbell,quadriceps,"calves, glutes, hamstrings, lower back",strength,"This exercise is best performed inside a squat rack for safety purposes. To begin, first place a flat bench or a box behind you. The flat bench is used to teach you to set your hips back and to hit depth., , Then, set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it., Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso., Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances discussed in the foot stances section)., Begin to slowly lower the bar by bending the knees and sitting your hips back as you maintain a straight posture with the head up. Continue down until you slightly touch the bench behind you. Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly., Begin to raise the bar as you exhale by pushing the floor with the heel of your foot as you straighten the legs and extend the hips to go back to the starting position., Repeat for the recommended amount of repetitions.",اسکات با هالتر روی نیمکت,"این تمرین برای ایمنی بیشتر، بهتر است داخل رک اسکات انجام شود. برای شروع، ابتدا یک نیمکت صاف یا یک جعبه پشت سر خود قرار دهید. نیمکت صاف برای آموزش عقب دادن باسن و عمق ضربه استفاده می‌شود. سپس، میله را روی رکی قرار دهید که با قد شما مطابقت داشته باشد. پس از انتخاب ارتفاع صحیح و بارگذاری میله، زیر میله قرار بگیرید و پشت شانه‌های خود (کمی پایین‌تر از گردن) را روی آن قرار دهید. با استفاده از هر دو دست در هر طرف، میله را بگیرید و ابتدا با فشار دادن پاها و همزمان صاف کردن تنه، آن را از روی رک بلند کنید. از رک فاصله بگیرید و پاهای خود را با استفاده از حالت ایستاده به عرض شانه و با انگشتان پا کمی رو به بیرون قرار دهید. همیشه سر خود را بالا نگه دارید زیرا نگاه کردن به پایین تعادل شما را از بین می‌برد و همچنین کمر خود را صاف نگه دارید. این حالت شروع شما خواهد بود. (توجه: برای اهداف این بحث، ما از حالت ایستادن متوسط که در بالا توضیح داده شد استفاده خواهیم کرد که هدف آن توسعه کلی است. با این حال، شما می‌توانید هر یک از سه حالت ایستادن مورد بحث در بخش حالت‌های ایستادن پا را انتخاب کنید). با خم کردن زانوها و عقب دادن باسن خود، در حالی که حالت صاف و سرتان رو به بالا است، شروع به پایین آوردن آهسته میله کنید. تا زمانی که کمی نیمکت پشت سرتان را لمس کنید، به پایین رفتن ادامه دهید. هنگام انجام این بخش از حرکت، نفس عمیق بکشید. نکته: اگر تمرین را به درستی انجام داده باشید، جلوی زانوها باید یک خط فرضی مستقیم با انگشتان پا که عمود بر قسمت جلو است، تشکیل دهند. اگر زانوهای شما از آن خط فرضی عبور کنند (اگر از انگشتان پا عبور کنند)، فشار بیش از حد به زانو وارد می‌کنید و تمرین به اشتباه انجام شده است. با بیرون دادن نفس، با فشار دادن کف زمین با پاشنه پا، در حالی که پاها را صاف می‌کنید و باسن را دراز می‌کنید تا به حالت شروع برگردید، شروع به بالا بردن میله کنید. به تعداد تکرارهای توصیه شده تکرار کنید."
Barbell Step Ups,push,intermediate,compound,barbell,quadriceps,"calves, glutes, hamstrings, quadriceps",strength,"Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck) and stand upright behind an elevated platform (such as the one used for spotting behind a flat bench). This is your starting position., Place the right foot on the elevated platform. Step on the platform by extending the hip and the knee of your right leg. Use the heel mainly to lift the rest of your body up and place the foot of the left leg on the platform as well. Breathe out as you execute the force required to come up., Step down with the left leg by flexing the hip and knee of the right leg as you inhale. Return to the original standing position by placing the right foot of to next to the left foot on the initial position., Repeat with the right leg for the recommended amount of repetitions and then perform with the left leg.",استپ آپ با هالتر,"در حالی که هالتری را در پشت شانه‌های خود (کمی پایین‌تر از گردن) نگه داشته‌اید، صاف بایستید و پشت یک سکوی بلند (مانند سکویی که برای پرس سینه پشت نیمکت صاف استفاده می‌شود) بایستید. این وضعیت شروع شماست. پای راست را روی سکوی بلند قرار دهید. با کشش لگن و زانوی پای راست خود روی سکو قدم بگذارید. عمدتاً از پاشنه پا برای بلند کردن بقیه بدن خود استفاده کنید و پای پای چپ را نیز روی سکو قرار دهید. هنگام اعمال نیروی لازم برای بالا آمدن، نفس خود را بیرون دهید. با خم کردن لگن و زانوی پای راست هنگام دم، با پای چپ پایین بیایید. با قرار دادن پای راست در کنار پای چپ در موقعیت اولیه، به حالت ایستاده اولیه بازگردید. این حرکت را با پای راست به تعداد تکرار توصیه شده تکرار کنید و سپس با پای چپ انجام دهید."
Barbell Walking Lunge,push,beginner,compound,barbell,quadriceps,"calves, glutes, hamstrings",strength,"Begin standing with your feet shoulder width apart and a barbell across your upper back., Step forward with one leg, flexing the knees to drop your hips. Descend until your rear knee nearly touches the ground. Your posture should remain upright, and your front knee should stay above the front foot., Drive through the heel of your lead foot and extend both knees to raise yourself back up., Step forward with your rear foot, repeating the lunge on the opposite leg.",لانگ پیاده روی با هالتر,"در حالی که پاهایتان به اندازه عرض شانه باز است و هالتری را روی قسمت بالایی کمرتان قرار داده‌اید، بایستید. با یک پا به جلو قدم بردارید، زانوها را خم کنید تا باسنتان پایین بیاید. تا جایی پایین بیایید که زانوی عقبی تقریباً زمین را لمس کند. وضعیت بدن شما باید صاف بماند و زانوی جلویی شما باید بالای پای جلویی قرار گیرد. با پاشنه پای جلویی خود به جلو حرکت کنید و هر دو زانو را دراز کنید تا دوباره بلند شوید. با پای عقبی خود به جلو قدم بردارید و حرکت لانژ را روی پای مخالف تکرار کنید."
Battling Ropes,push,beginner,compound,other,shoulders,"chest, forearms",strength,"For this exercise you will need a heavy rope anchored at its center 15-20 feet away. Standing in front of the rope, take an end in each hand with your arms extended at your side. This will be your starting position., Initiate the movement by rapidly raising one arm to shoulder level as quickly as you can., As you let that arm drop to the starting position, raise the opposite side., Continue alternating your left and right arms, whipping the ropes up and down as fast as you can.",طناب‌های جنگی,"برای این تمرین به یک طناب سنگین که در مرکز آن در فاصله ۱۵ تا ۲۰ فوتی (حدود ۴ تا ۶ متری) مهار شده باشد، نیاز دارید. در جلوی طناب بایستید، هر دست خود را در حالی که بازوهایتان در کنار بدن کشیده شده است، در یک سر آن قرار دهید. این حالت، حالت شروع شما خواهد بود. حرکت را با بالا بردن سریع یک دست تا سطح شانه و با بیشترین سرعت ممکن شروع کنید. همزمان با پایین آوردن دست به سمت موقعیت شروع، دست مخالف را نیز بالا ببرید. به طور متناوب دست چپ و راست خود را حرکت دهید و طناب‌ها را با بیشترین سرعت ممکن بالا و پایین ببرید."
Bear Crawl Sled Drags,push,beginner,compound,other,quadriceps,"calves, glutes, hamstrings",strongman,"Wearing either a harness or a loose weight belt, attach the chain to the back so that you will be facing away from the sled. Bend down so that your hands are on the ground. Your back should be flat and knees bent. This is your starting position., Begin by driving with legs, alternating left and right. Use your hands to maintain balance and to help pull. Try to keep your back flat as you move over a given distance.",کشیدن سورتمه با خزش خرس,"با استفاده از هارنس یا کمربند وزنه آزاد، زنجیر را به پشت خود وصل کنید تا رو به سورتمه نباشید. خم شوید تا دستانتان روی زمین باشد. کمرتان باید صاف و زانوهایتان خمیده باشد. این حالت شروع شماست. با حرکت پاها شروع کنید و به طور متناوب به چپ و راست حرکت کنید. از دستان خود برای حفظ تعادل و کمک به کشیدن استفاده کنید. سعی کنید هنگام حرکت در مسافت مشخص، کمر خود را صاف نگه دارید."
Behind Head Chest Stretch,static,expert,isolation,other,chest,shoulders,stretching,"Sit upright on the floor with your partner behind you., Place your hands behind your hand, and push your elbows back as far as you can. Your partner should hold your elbows. This will be your starting position., Gently attempt to pull your elbows forward with your hands still behind your head for 10 or more seconds. Your partner should prevent your elbows from moving., Now, relax your muscles and have your partner gently pull the elbows back as far as it comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury.",کشش قفسه سینه از پشت سر,"روی زمین صاف بنشینید و شریک زندگی‌تان پشت سرتان باشد. دستانتان را پشت دستتان قرار دهید و آرنج‌هایتان را تا جایی که می‌توانید به عقب فشار دهید. شریک زندگی‌تان باید آرنج‌هایتان را نگه دارد. این حالت شروع شما خواهد بود. به آرامی سعی کنید آرنج‌هایتان را به مدت 10 ثانیه یا بیشتر در حالی که دستانتان پشت سرتان است، به جلو بکشید. شریک زندگی‌تان باید از حرکت آرنج‌هایتان جلوگیری کند. حالا، عضلات خود را شل کنید و از شریک زندگی‌تان بخواهید که آرنج‌ها را به آرامی تا جایی که برای شما راحت است به عقب بکشد. حتماً به شریک زندگی‌تان اطلاع دهید که چه زمانی کشش کافی است تا از کشش بیش از حد یا آسیب‌دیدگی جلوگیری شود."
Bench Dips,push,beginner,compound,body only,triceps,"chest, shoulders",strength,"For this exercise you will need to place a bench behind your back. With the bench perpendicular to your body, and while looking away from it, hold on to the bench on its edge with the hands fully extended, separated at shoulder width. The legs will be extended forward, bent at the waist and perpendicular to your torso. This will be your starting position., Slowly lower your body as you inhale by bending at the elbows until you lower yourself far enough to where there is an angle slightly smaller than 90 degrees between the upper arm and the forearm. Tip: Keep the elbows as close as possible throughout the movement. Forearms should always be pointing down., Using your triceps to bring your torso up again, lift yourself back to the starting position., Repeat for the recommended amount of repetitions.",دیپ روی نیمکت,"برای این تمرین باید یک نیمکت را پشت کمر خود قرار دهید. نیمکت را عمود بر بدن خود قرار دهید و در حالی که به آن نگاه می‌کنید، لبه نیمکت را با دست‌های کاملاً کشیده و باز به اندازه عرض شانه، بگیرید. پاها به جلو کشیده، از کمر خم و عمود بر تنه شما خواهند بود. این وضعیت شروع شما خواهد بود. در حالی که نفس می‌کشید، با خم کردن آرنج‌ها، بدن خود را به آرامی پایین بیاورید تا جایی که زاویه‌ای کمی کمتر از ۹۰ درجه بین بازو و ساعد ایجاد شود. نکته: آرنج‌ها را تا حد امکان در طول حرکت نزدیک نگه دارید. ساعدها همیشه باید به سمت پایین باشند. با استفاده از عضله سه سر خود، تنه خود را دوباره بالا بیاورید و به وضعیت شروع برگردید. این حرکت را به تعداد توصیه شده تکرار کنید."
Bench Jump,push,intermediate,compound,body only,quadriceps,"calves, glutes, hamstrings",plyometrics,"Begin with a box or bench 1-2 feet in front of you. Stand with your feet shoulder width apart. This will be your starting position., Perform a short squat in preparation for the jump; swing your arms behind you., Rebound out of this position, extending through the hips, knees, and ankles to jump as high as possible. Swing your arms forward and up., Jump over the bench, landing with the knees bent, absorbing the impact through the legs., Turn around and face the opposite direction, then jump back over the bench.",پرش از روی نیمکت,"با یک جعبه یا نیمکت که ۱ تا ۲ فوت (حدود ۳.۵ تا ۶ متر) در مقابل شما قرار دارد، شروع کنید. پاهایتان را به اندازه عرض شانه باز کنید. این وضعیت شروع شما خواهد بود. برای آماده شدن برای پرش، یک اسکات کوتاه انجام دهید؛ دستانتان را پشت سرتان تاب دهید. از این وضعیت خارج شوید و با کشش باسن، زانوها و مچ پا تا حد امکان بالا بپرید. دستانتان را به جلو و بالا تاب دهید. از روی نیمکت بپرید، با زانوهای خم فرود بیایید و ضربه را از طریق پاها جذب کنید. برگردید و رو به جهت مخالف قرار بگیرید، سپس دوباره از روی نیمکت بپرید."
Bench Press - Powerlifting,push,intermediate,compound,barbell,triceps,"chest, forearms, lats, shoulders",powerlifting,"Begin by lying on the bench, getting your head beyond the bar if possible. Tuck your feet underneath you and arch your back. Using the bar to help support your weight, lift your shoulder off the bench and retract them, squeezing the shoulder blades together. Use your feet to drive your traps into the bench. Maintain this tight body position throughout the movement., However wide your grip, it should cover the ring on the bar. Pull the bar out of the rack without protracting your shoulders. Focus on squeezing the bar and trying to pull it apart., Lower the bar to your lower chest or upper stomach. The bar, wrist, and elbow should stay in line at all times., Pause when the barbell touches your torso, and then drive the bar up with as much force as possible. The elbows should be tucked in until lockout.",پرس سینه - پاورلیفتینگ,"با دراز کشیدن روی نیمکت شروع کنید، در صورت امکان سر خود را از میله بالاتر ببرید. پاهای خود را زیر خود قرار دهید و کمر خود را قوس دهید. با استفاده از میله برای حمایت از وزن خود، شانه خود را از روی نیمکت بلند کنید و آنها را به عقب بکشید و تیغه‌های شانه را به هم فشار دهید. از پاهای خود برای فشار دادن عضلات ذوزنقه‌ای خود به نیمکت استفاده کنید. این حالت بدنی سفت را در طول حرکت حفظ کنید. هر چقدر هم که دست‌هایتان باز باشد، باید حلقه روی میله را بپوشاند. میله را بدون اینکه شانه‌هایتان را بکشید، از پایه بیرون بکشید. روی فشار دادن میله و تلاش برای جدا کردن آن تمرکز کنید. میله را تا پایین سینه یا بالای شکم خود پایین بیاورید. میله، مچ دست و آرنج باید همیشه در یک خط باشند. وقتی هالتر به تنه شما برخورد کرد، مکث کنید و سپس میله را با حداکثر نیروی ممکن به سمت بالا بکشید. آرنج‌ها باید تا زمان قفل شدن جمع شوند."
Bench Press - With Bands,push,beginner,compound,bands,chest,"shoulders, triceps",strength,"Using a flat bench secure a band under the leg of the bench that is nearest to your head., Once the band is secure, grab it by both handles and lie down on the bench., Extend your arms so that you are holding the band handles in front of you at shoulder width., Once at shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. This will be your starting position., Bring down the handles slowly until your elbow forms a 90 degree angle. Keep full control at all times., As you breathe out, bring the handles up using your pectoral muscles. Lock your arms in the contracted position, squeeze your chest, hold for a second and then start coming down slowly. Tip: It should take at least twice as long to go down than to come up., Repeat the movement for the prescribed amount of repetitions of your training program.",پرس سینه - با کش,"با استفاده از یک نیمکت صاف، یک باند را زیر پایه نیمکت که به سرتان نزدیک‌تر است، محکم کنید. وقتی باند محکم شد، آن را از هر دو دسته بگیرید و روی نیمکت دراز بکشید. بازوهای خود را دراز کنید تا دسته‌های باند را در مقابل خود و به اندازه عرض شانه نگه دارید. وقتی به اندازه عرض شانه رسیدید، مچ دست خود را به جلو بچرخانید تا کف دست‌هایتان رو به بیرون باشد. این حالت شروع شما خواهد بود. دسته‌ها را به آرامی پایین بیاورید تا آرنج شما زاویه ۹۰ درجه تشکیل دهد. همیشه کنترل کامل را حفظ کنید. هنگام بازدم، دسته‌ها را با استفاده از عضلات سینه‌ای خود بالا بیاورید. بازوهای خود را در حالت انقباض قفل کنید، سینه خود را منقبض کنید، یک ثانیه نگه دارید و سپس به آرامی شروع به پایین آمدن کنید. نکته: پایین رفتن باید حداقل دو برابر بالا آمدن طول بکشد. حرکت را به تعداد تکرارهای تعیین شده در برنامه تمرینی خود تکرار کنید."
Bench Press with Chains,push,expert,compound,barbell,triceps,"chest, lats, shoulders",powerlifting,"Adjust the leader chain, shortening it to the desired length.Place the chains on the sleeves of the bar., Lying on the bench, get your head beyond the bar if possible. Tuck your feet underneath you and arch your back. Using the bar to help support your weight, lift your shoulder off the bench and retract them, squeezing the shoulder blades together. Use your feet to drive your traps into the bench. Maintain this tight body position throughout the movement. However wide your grip, it should cover the ring on the bar., Pull the bar out of the rack without protracting your shoulders. Focus on squeezing the bar and trying to pull it apart. Lower the bar to your lower chest or upper stomach. The bar, wrist, and elbow should stay in line at all times., Pause when the barbell touches your torso, and then drive the bar up with as much force as possible. The elbows should be tucked in until lockout.",پرس سینه با زنجیر,"زنجیر رهبر را تنظیم کنید و آن را به طول دلخواه کوتاه کنید. زنجیر را روی آستین‌های میله قرار دهید. روی نیمکت دراز بکشید و در صورت امکان سر خود را از میله بالاتر ببرید. پاهای خود را زیر خود جمع کنید و کمر خود را قوس دهید. با استفاده از میله برای تحمل وزن خود، شانه خود را از روی نیمکت بلند کنید و آنها را جمع کنید و تیغه‌های شانه را به هم فشار دهید. از پاهای خود برای فشار دادن عضلات ذوزنقه‌ای خود به نیمکت استفاده کنید. این حالت بدنی سفت را در طول حرکت حفظ کنید. هر چقدر هم که دستتان باز باشد، باید حلقه روی میله را بپوشاند. میله را بدون اینکه شانه‌هایتان کشیده شود از پایه بیرون بکشید. روی فشار دادن میله و تلاش برای جدا کردن آن تمرکز کنید. میله را تا پایین سینه یا بالای شکم خود پایین بیاورید. میله، مچ دست و آرنج باید همیشه در یک خط قرار بگیرند. وقتی هالتر به تنه شما برخورد کرد، مکث کنید و سپس میله را با حداکثر نیروی ممکن به سمت بالا بکشید. آرنج‌ها باید تا زمان قفل شدن جمع شوند."
Bench Sprint,push,beginner,compound,other,quadriceps,"calves, glutes, hamstrings",plyometrics,"Stand on the ground with one foot resting on a bench or box with your heel close to the edge., Push off with your foot on top of the bench, extending through the hip and knee., Land with the opposite foot on top of the box, returning your other foot back to the start position., Continue alternating from one foot to another to complete the set.",اسپرینت روی نیمکت,"روی زمین بایستید و یک پا را روی نیمکت یا جعبه قرار دهید و پاشنه پا را نزدیک لبه آن نگه دارید. پای خود را روی نیمکت قرار دهید و از طریق لگن و زانو آن را بکشید. پای مخالف را روی جعبه فرود بیاورید و پای دیگر خود را به حالت اولیه برگردانید. برای تکمیل ست، به طور متناوب از یک پا به پای دیگر بروید."
Bent-Arm Barbell Pullover,pull,intermediate,compound,barbell,lats,"chest, lats, shoulders, triceps",strength,"Lie on a flat bench with a barbell using a shoulder grip width., Hold the bar straight over your chest with a bend in your arms. This will be your starting position., While keeping your arms in the bent arm position, lower the weight slowly in an arc behind your head while breathing in until you feel a stretch on the chest., At that point, bring the barbell back to the starting position using the arc through which the weight was lowered and exhale as you perform this movement., Hold the weight on the initial position for a second and repeat the motion for the prescribed number of repetitions.",پول‌اور هالتر با بازوی خمیده,"روی یک نیمکت صاف با هالتر به اندازه عرض شانه دراز بکشید. هالتر را با خم کردن بازوها، مستقیم روی سینه خود نگه دارید. این حالت شروع شما خواهد بود. در حالی که بازوهای خود را در حالت خم نگه داشته‌اید، وزنه را به آرامی و در حالی که نفس می‌کشید، در یک قوس پشت سر خود پایین بیاورید تا زمانی که در سینه خود احساس کشش کنید. در آن نقطه، هالتر را با استفاده از قوسی که وزنه از آن پایین آمده بود، به حالت شروع برگردانید و هنگام انجام این حرکت، نفس خود را بیرون دهید. وزنه را به مدت یک ثانیه در حالت اولیه نگه دارید و حرکت را با تعداد تکرارهای تعیین شده تکرار کنید."
